stand,date_1,nb_cats_1,date_2,date_3,date_4,nb_people_4,date_5,nb_people_5,time_property_5,nb_cats_5,date_6,nb_people_6,newhouse_6,date_7,nb_people_7,moving_7,date_8,nb_people_8,moving_8,ndohh_8,dohh_enough_8,dohh_toomany_8,date_9,nb_people_9,moving_9,ndohh_9,dohh_enough_9,dohh_toomany_9,dohh_number_9,date_10,nb_people_10,moving_10,ndohh_10,dohh_enough_10,dohh_toomany_10,dohh_number_10,date_11,nb_people_11,ndohh_11,dohh_enough_11,dohh_toomany_11,dohh_number_11,date_12,inhabited_12,stand_household_12,time_property_12,new_house_12,ndohh_12,dohh_toomany_12,dohh_enough_12
C-40055,07/08/2011,0,,12/21/2012,4,,08/22/2013,4,4,0,01/23/2014,5,0,06/18/2014,4,1,11/03/2014,4,1,1,,,04/30/2015,4,1,88,,,,10/14/2015,4,1,1,,,1,24-Feb-16,4,1,,,1,2016/09/29,1,1,4,,88,,
C-40056,07/11/2011,0,,12/21/2012,2,,08/22/2013,3,4,0,01/23/2014,3,0,06/18/2014,3,1,11/03/2014,8,1,88,,,04/30/2015,3,1,1,,,1,,,,,,,,,,,,,,2016/09/29,1,1,4,,88,,
C-40057,07/08/2011,0,,12/21/2012,10,,08/22/2013,7,4,0,01/23/2014,7,0,06/18/2014,10,1,11/03/2014,10,1,0,,,04/30/2015,10,1,1,,,1,,,,,,,,,,,,,,2016/09/29,1,1,4,,88,,
C-40058,07/08/2011,0,,10/31/2012,88,06/20/2012,,,,,01/23/2014,5,1,08/15/2014,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/09/29,1,1,4,,88,,
C-40059,07/08/2011,0,,10/31/2012,4,06/20/2012,08/21/2013,4,4,0,01/23/2014,3,0,06/18/2014,4,1,11/03/2014,4,1,1,,,04/30/2015,4,1,88,,,,10/08/2015,4,1,88,,,,24-Feb-16,4,88,,,,2016/09/29,1,1,4,,88,,
C-40060,07/08/2011,0,11/29/2011,10/31/2012,5,06/20/2012,08/21/2013,6,4,0,01/23/2014,3,0,06/18/2014,5,1,11/03/2014,5,1,1,,,04/30/2015,5,1,1,,,1,10/08/2015,5,1,1,,,1,24-Feb-16,5,1,,,1,2016/09/29,1,1,4,,88,,
C-40061,07/08/2011,0,11/29/2011,10/31/2012,5,06/20/2012,08/21/2013,5,4,0,05/05/2014,4,0,06/18/2014,5,1,,,,,,,,,,,,,,10/08/2015,3,1,,88,,,07-Mar-16,3,,88,,,,,,,,,,
C-40062,07/08/2011,0,11/29/2011,10/31/2012,7,06/20/2012,,,,,01/23/2014,5,0,06/18/2014,7,1,11/03/2014,7,1,,1,1,04/30/2015,7,1,,1,1,1,10/08/2015,6,1,,88,,,07-Mar-16,6,,88,,,2016/09/29,1,1,4,,,,88
C-40063,07/08/2011,0,11/29/2011,10/31/2012,5,06/20/2012,08/21/2013,6,4,0,01/23/2014,6,0,06/18/2014,6,1,11/03/2014,6,1,1,,,04/29/2015,6,1,88,,,,10/08/2015,6,1,0,,,,25-Feb-16,6,0,,,,2016/09/29,1,1,4,,88,,
C-40064,07/08/2011,0,11/29/2011,10/31/2012,1,06/20/2012,08/21/2013,1,4,0,01/23/2014,4,0,06/18/2014,1,1,11/03/2014,1,1,88,,,04/29/2015,1,1,1,,,1,10/08/2015,2,1,1,,,1,25-Feb-16,2,1,,,1,2016/09/29,1,1,4,,88,,
C-40065,,,11/29/2011,10/31/2012,5,06/20/2012,08/21/2013,5,4,0,01/23/2014,4,0,08/20/2014,2,1,11/03/2014,4,1,1,,,,,,,,,,10/08/2015,3,1,88,,,,25-Feb-16,3,88,,,,2016/09/30,1,1,4,,,,1
C-40066,,,11/29/2011,10/31/2012,88,06/22/2012,09/30/2013,8,88,88,01/23/2014,8,0,06/18/2014,13,1,11/03/2014,13,1,,0,,,,,,,,,10/08/2015,6,1,,88,,,07-Mar-16,6,,88,,,2016/09/29,1,1,4,,,,88
C-40067,,,,10/31/2012,2,07/26/2012,,,,,,,,,,,,,,,,,,,,,,,,10/08/2015,5,1,88,,,,22-Jul-16,5,1,,,1,2016/09/29,1,1,4,,88,,
C-40068,07/08/2011,0,11/30/2011,11/27/2012,2,06/19/2012,08/22/2013,0,4,0,05/05/2014,3,0,06/19/2014,3,1,11/03/2014,3,1,0,,,,,,,,,,10/08/2015,3,1,88,,,,20-Jul-16,3,88,,,,2016/10/03,1,1,4,,88,,
C-40069,07/14/2011,0,11/30/2011,11/01/2012,5,06/19/2012,08/22/2013,4,4,0,05/05/2014,6,0,06/19/2014,5,1,11/03/2014,6,1,,0,,08/27/2015,6,1,,88,,,10/08/2015,7,1,,88,,,07-Mar-16,7,,88,,,2016/10/03,1,1,4,,88,,
