"","daySeries","meanAbun","meanInf","meanVac"
"394",394,454.161,0,165.9012
"395",395,454.3718,0,165.6958
"396",396,454.5536,0,165.4908
"397",397,454.7942,0,165.2862
"398",398,454.9944,0,165.0728
"399",399,455.2188,0,164.873
"400",400,455.408,0,164.6692
"401",401,455.5888,0,164.4634
"402",402,455.8422,0,164.2606
"403",403,456.0154,0,164.0474
"404",404,456.225,0,163.8408
"405",405,456.3898,0,163.6446
"406",406,456.5944,0,163.4442
"407",407,456.7768,0,163.2472
"408",408,456.9364,0,163.0386
"409",409,457.1486,0,162.8372
"410",410,457.36,0,162.6258
"411",411,457.528,0,162.4304
"412",412,457.7202,0,162.225
"413",413,457.9194,0,162.024
"414",414,458.1202,0,161.8342
"415",415,458.2856,0,161.6408
"416",416,458.4568,0,161.4366
"417",417,458.6346,0,161.2326
"418",418,458.8306,0,161.0208
"419",419,459.0438,0,160.82
"420",420,459.1872,0,160.6222
"421",421,459.3902,0,160.4206
"422",422,459.5654,0,160.2152
"423",423,459.7734,0,160.0176
"424",424,459.9446,0,159.8186
"425",425,460.1392,0,159.623
"426",426,460.3242,0,159.4306
"427",427,460.5256,0,159.2256
"428",428,460.7026,0,159.0308
"429",429,460.8756,0,158.8416
"430",430,461.115,0,158.6456
"431",431,461.3134,0,158.463
"432",432,461.4952,0,158.2734
"433",433,461.6862,0,158.0858
"434",434,461.9248,0,157.8866
"435",435,462.1524,0,157.697
"436",436,462.3822,0,157.499
"437",437,462.5882,0,157.2982
"438",438,462.77,0,157.1092
"439",439,462.961,0,156.9212
"440",440,463.1874,0,156.7366
"441",441,463.4006,0,156.5474
"442",442,463.6328,0,156.3608
"443",443,463.8026,0,156.1682
"444",444,464.0064,0,155.9784
"445",445,464.2072,0,155.787
"446",446,464.3994,0,155.5946
"447",447,464.612,0,155.403
"448",448,464.7532,0,155.2072
"449",449,464.9318,0,155.013
"450",450,465.1326,0,154.8302
"451",451,465.3336,0,154.6426
"452",452,465.4704,0,154.4532
"453",453,465.6606,0,154.2612
"454",454,465.8654,0,154.064
"455",455,466.0746,0,153.8804
"456",456,466.281,0,153.6962
"457",457,466.4418,0,153.5126
"458",458,466.6276,0,153.314
"459",459,466.7702,0,153.1122
"460",460,466.9972,0,152.933
"461",461,467.1774,0,152.7462
"462",462,467.3878,0,152.5584
"463",463,467.5698,0,152.372
"464",464,467.7802,0,152.1948
"465",465,467.962,0,152.0046
"466",466,468.168,0,151.813
"467",467,468.3396,0,151.6336
"468",468,468.5336,0,151.4432
"469",469,468.7464,0,151.2532
"470",470,468.8852,0,151.0634
"471",471,469.0992,0,150.881
"472",472,469.2726,0,150.6922
"473",473,469.5078,0,150.5068
"474",474,469.7068,0,150.3136
"475",475,469.8654,0,150.1294
"476",476,470.0868,0,149.9578
"477",477,470.2624,0,149.7748
"478",478,470.4854,0,149.5942
"479",479,470.6852,0,149.4056
"480",480,470.8526,0,149.2078
"481",481,471.0206,0,149.023
"482",482,471.2212,0,148.8374
"483",483,471.381,0,148.641
"484",484,471.5882,0,148.459
"485",485,471.7618,0,148.278
"486",486,471.998,0,148.099
"487",487,472.166,0,147.915
"488",488,472.3248,0,147.7322
"489",489,472.5252,0,147.5508
"490",490,472.7012,0,147.3768
"491",491,472.8848,0,147.1928
"492",492,473.1152,0,147.0184
"493",493,473.2756,0,146.8142
"494",494,473.475,0,146.6308
"495",495,473.6836,0,146.451
"496",496,473.893,0,146.2678
"497",497,474.0438,0,146.0864
"498",498,474.2278,0,145.8972
"499",499,474.4448,0,145.7232
"500",500,474.6796,0,145.5376
"501",501,474.8958,0,145.3554
"502",502,475.1158,0,145.1776
"503",503,475.3044,0,145.0048
"504",504,475.4798,0,144.8214
"505",505,475.7186,0,144.6452
"506",506,475.8878,0,144.4612
"507",507,476.0524,0,144.2904
"508",508,476.2834,0,144.1162
"509",509,476.4768,0,143.9352
"510",510,476.6472,0,143.7572
"511",511,476.8692,0,143.576
"512",512,477.0494,0,143.4058
"513",513,477.2578,0,143.2162
"514",514,477.446,0,143.035
"515",515,477.6516,0,142.8546
"516",516,477.8256,0,142.68
"517",517,477.975,0,142.5
"518",518,478.1416,0,142.3246
"519",519,478.3624,0,142.1478
"520",520,478.5962,0,141.963
"521",521,478.737,0,141.7886
"522",522,478.861,0,141.6064
"523",523,479.0576,0,141.4398
"524",524,479.2642,0,141.2628
"525",525,479.4424,0,141.0872
"526",526,479.605,0,140.9084
"527",527,479.7748,0,140.7326
"528",528,479.956,0,140.556
