"","daySeries","meanAbun","meanInf","meanVac"
"664",664,507.38,0,0
"665",665,507.594,0,0
"666",666,507.668,0,0
"667",667,507.888,0,0
"668",668,508.142,0,0
"669",669,508.236,0,0
"670",670,508.364,0,0
"671",671,508.592,0,0
"672",672,508.754,0,0
"673",673,508.9,0,0
"674",674,509.192,0,0
"675",675,509.31,0,0
"676",676,509.576,0,0
"677",677,509.674,0,0
"678",678,509.804,0,0
"679",679,509.89,0,0
"680",680,509.994,0,0
"681",681,510.312,0,0
"682",682,510.572,0,0
"683",683,510.72,0,0
"684",684,510.8,0,0
"685",685,511.064,0,0
"686",686,511.266,0,0
"687",687,511.498,0,0
"688",688,511.586,0,0
"689",689,511.712,0,0
"690",690,511.856,0,0
"691",691,511.972,0,0
"692",692,512.254,0,0
"693",693,512.438,0,0
"694",694,512.658,0,0
"695",695,512.864,0,0
"696",696,512.974,0,0
"697",697,513.174,0,0
"698",698,513.376,0,0
"699",699,513.562,0,0
"700",700,513.626,0,0
"701",701,513.788,0,0
"702",702,513.962,0,0
"703",703,514.024,0,0
"704",704,514.096,0,0
"705",705,514.246,0,0
"706",706,514.372,0,0
"707",707,514.566,0,0
"708",708,514.732,0,0
"709",709,514.86,0,0
"710",710,514.966,0,0
"711",711,515.064,0,0
"712",712,515.268,0,0
"713",713,515.616,0,0
"714",714,515.618,0,0
"715",715,515.842,0,0
"716",716,515.986,0,0
"717",717,516.114,0,0
"718",718,516.35,0,0
"719",719,516.362,0,0
"720",720,516.564,0,0
"721",721,516.708,0,0
"722",722,516.796,0,0
"723",723,516.918,0,0
"724",724,517.192,0,0
"725",725,517.278,0,0
"726",726,517.424,0,0
"727",727,517.614,0,0
"728",728,517.926,0,0
"729",729,518.132,0,0
"730",730,518.3,0,0
"731",731,518.474,0,0
"732",732,518.594,0,0
"733",733,518.752,0,0
"734",734,518.924,0,0
"735",735,518.942,0,0
"736",736,518.97,0,0
"737",737,519.088,0,0
"738",738,519.24,0,0
"739",739,519.35,0,0
"740",740,519.392,0,0
"741",741,519.588,0,0
"742",742,519.692,0,0
"743",743,519.732,0,0
"744",744,519.968,0,0
"745",745,520.078,0,0
"746",746,520.138,0,0
"747",747,520.33,0,0
"748",748,520.496,0,0
"749",749,520.504,0,0
"750",750,520.74,0,0
"751",751,520.952,0,0
"752",752,521.188,0,0
"753",753,521.204,0,0
"754",754,521.37,0,0
"755",755,521.49,0.966,0
"756",756,521.59,0.964,0
"757",757,521.762,0.962,0
"758",758,521.986,0.962,0
"759",759,521.186,0,0
"760",760,521.392,0,0
"761",761,521.498,0,0
"762",762,521.838,0,0
"763",763,522.012,0,0
"764",764,522.234,0,0
"765",765,522.32,0,0
"766",766,522.68,0,0
"767",767,522.566,0,0
"768",768,522.6,0,0
"769",769,522.812,0,0
"770",770,522.83,0,0
"771",771,522.936,0,0
"772",772,523.138,0,0
"773",773,523.28,0,0
"774",774,523.436,0,0
"775",775,523.598,0,0
"776",776,523.574,0,0
"777",777,523.776,0,0
"778",778,523.832,0.312,0
"779",779,524.136,0.576,0
"780",780,524.31,0.862,0
"781",781,524.282,1.196,0
"782",782,524.108,0.888,0
"783",783,524.006,0.622,0
"784",784,523.812,0.336,0
"785",785,523.546,0,0
"786",786,523.66,0,0
"787",787,523.848,0,0
"788",788,523.894,0,0
"789",789,524.092,0,0
"790",790,524.15,0,0
"791",791,524.266,0,0
"792",792,524.468,0,0
"793",793,524.556,0,0
"794",794,524.628,0,0
"795",795,524.84,0,0
"796",796,524.964,0,0
"797",797,525.164,0,0
"798",798,525.216,0,0
"799",799,525.334,0,0
"800",800,525.37,0,0
"801",801,525.44,0.11,0
"802",802,525.564,0.332,0
"803",803,525.816,0.61,0
"804",804,525.884,1.066,0
"805",805,525.884,1.292,0
"806",806,525.782,1.288,0
"807",807,525.468,1.104,0
"808",808,525.066,0.648,0
"809",809,524.728,0.318,0
"810",810,524.768,0.104,0
"811",811,524.838,0,0
"812",812,525.004,0,0
"813",813,525.228,0,0
"814",814,525.324,0,0
"815",815,525.498,0,0
"816",816,525.734,0,0
"817",817,525.98,0,0
"818",818,526.056,0,0
"819",819,526.24,0,0
"820",820,526.312,0,0
"821",821,526.408,0,0
"822",822,526.476,0,0
"823",823,526.636,0,0
"824",824,526.868,0.032,0
"825",825,527.058,0.106,0
"826",826,527.174,0.286,0
"827",827,527.31,0.708,0
"828",828,527.466,1.074,0
"829",829,527.576,1.482,0
"830",830,527.456,1.594,0
"831",831,527.266,1.388,0
"832",832,527.098,1.142,0
"833",833,526.714,0.686,0
"834",834,526.634,0.392,0
"835",835,526.61,0.18,0
"836",836,526.776,0.026,0
"837",837,526.798,0,0
"838",838,526.92,0,0
"839",839,527.184,0,0
"840",840,527.298,0,0
"841",841,527.476,0,0
"842",842,527.596,0,0
"843",843,527.926,0,0
"844",844,528.202,0,0
"845",845,528.304,0,0
"846",846,528.368,0,0
"847",847,528.47,0,0
"848",848,528.518,0.042,0
"849",849,528.598,0.154,0
"850",850,528.708,0.348,0
"851",851,528.796,0.66,0
"852",852,528.844,1.05,0
"853",853,528.73,1.444,0
"854",854,528.618,1.704,0
"855",855,528.382,1.79,0
"856",856,528.126,1.584,0
"857",857,527.722,1.24,0
"858",858,527.288,0.836,0
"859",859,526.894,0.446,0
"860",860,526.702,0.216,0
"861",861,526.77,0.056,0
"862",862,526.946,0.01,0
"863",863,527.112,0,0
"864",864,527.226,0,0
"865",865,527.442,0,0
"866",866,527.504,0,0
"867",867,527.6,0,0
"868",868,527.734,0,0
"869",869,527.718,0,0
"870",870,527.946,0,0
"871",871,528.144,0.012,0
"872",872,528.376,0.102,0
"873",873,528.392,0.2,0
"874",874,528.428,0.398,0
"875",875,528.416,0.722,0
"876",876,528.57,1.108,0
"877",877,528.53,1.594,0
"878",878,528.602,1.938,0
"879",879,528.398,2.16,0
"880",880,528.154,2.114,0
"881",881,527.624,1.866,0
"882",882,527.146,1.498,0
"883",883,526.506,1.032,18
"884",884,526.308,0.616,35.932
"885",885,526.202,0.29,53.84
"886",886,526.192,0.112,71.69
"887",887,526.18,0.014,89.556
"888",888,526.302,0.002,107.314
"889",889,526.514,0,123.93
"890",890,526.678,0,136.46
"891",891,526.756,0,145.1
"892",892,526.842,0,153.082
"893",893,526.916,0,160.996
"894",894,527.056,0.012,168.98
"895",895,527.188,0.038,176.948
"896",896,527.282,0.1,184.848
"897",897,527.538,0.26,192.76
"898",898,527.656,0.48,200.6
"899",899,527.642,0.81,208.432
"900",900,527.608,1.176,216.268
"901",901,527.57,1.616,224.016
"902",902,527.516,2.042,231.724
"903",903,527.326,2.392,239.232
"904",904,526.986,2.602,246.576
"905",905,526.384,2.468,253.382
"906",906,525.952,2.162,259.778
"907",907,525.318,1.656,265.564
"908",908,524.984,1.076,270.9
"909",909,524.68,0.658,275.884
"910",910,524.35,0.312,280.588
"911",911,524.414,0.118,284.152
"912",912,524.516,0.05,283.576
"913",913,524.572,0.008,283.022
"914",914,524.652,0.004,282.46
"915",915,524.72,0,281.884
"916",916,524.822,0,281.428
"917",917,524.758,0.002,280.88
"918",918,524.82,0.008,280.372
"919",919,524.864,0.028,279.876
"920",920,524.898,0.084,279.346
"921",921,525.076,0.164,278.842
"922",922,525.156,0.296,278.336
"923",923,525.258,0.55,277.88
"924",924,525.322,0.784,277.384
"925",925,525.528,1.046,276.938
"926",926,525.388,1.326,276.378
"927",927,525.236,1.516,275.8
"928",928,525.152,1.636,275.242
"929",929,525.05,1.592,274.674
"930",930,524.698,1.41,274.116
"931",931,524.39,1.106,273.558
"932",932,524.024,0.75,273.054
"933",933,523.79,0.486,272.542
"934",934,523.618,0.266,272.026
"935",935,523.434,0.114,271.538
"936",936,523.508,0.058,271.046
"937",937,523.804,0.018,270.612
"938",938,524.076,0.004,270.192
"939",939,524.262,0,269.73
"940",940,524.456,0,269.224
"941",941,524.534,0.012,268.81
"942",942,524.658,0.018,268.364
"943",943,524.74,0.03,267.942
"944",944,524.832,0.074,267.466
"945",945,524.906,0.124,267.012
"946",946,524.966,0.194,266.534
"947",947,524.976,0.27,266.078
"948",948,525.094,0.356,265.606
"949",949,525.036,0.508,265.152
"950",950,525.096,0.674,264.68
"951",951,525.076,0.82,264.246
"952",952,525.072,0.886,263.778
"953",953,524.984,0.85,263.372
"954",954,525.106,0.756,263.016
"955",955,524.942,0.628,262.588
"956",956,524.75,0.496,262.164
"957",957,524.744,0.368,261.742
"958",958,524.918,0.236,261.306
"959",959,524.898,0.134,260.92
"960",960,524.972,0.072,260.45
"961",961,525.066,0.026,260.044
"962",962,525.28,0.008,259.682
"963",963,525.482,0.002,259.334
"964",964,525.542,0,258.844
"965",965,525.694,0.002,258.402
"966",966,525.69,0.006,257.924
"967",967,525.844,0.018,257.48
"968",968,525.88,0.044,257.084
"969",969,526.066,0.078,256.706
"970",970,526.13,0.122,256.28
"971",971,526.126,0.194,255.84
"972",972,526.216,0.238,255.424
"973",973,526.36,0.29,255.028
"974",974,526.306,0.364,254.588
"975",975,526.184,0.424,254.14
"976",976,526.084,0.484,253.69
"977",977,526.114,0.528,253.336
"978",978,526.164,0.486,252.92
"979",979,526.164,0.412,252.494
"980",980,526.298,0.34,252.108
"981",981,526.232,0.254,251.708
"982",982,526.26,0.192,251.322
"983",983,526.428,0.134,250.956
"984",984,526.448,0.076,250.58
"985",985,526.438,0.032,250.174
"986",986,526.478,0.014,249.796
"987",987,526.548,0,249.398
"988",988,526.864,0,249.072
"989",989,526.946,0.002,248.686
"990",990,527.096,0.004,248.322
"991",991,527.166,0.014,247.978
"992",992,527.342,0.028,247.586
"993",993,527.308,0.062,247.218
"994",994,527.466,0.098,246.862
"995",995,527.588,0.118,246.49
"996",996,527.752,0.166,246.128
"997",997,527.74,0.178,245.778
"998",998,527.824,0.194,245.384
"999",999,527.988,0.24,245.072
"1000",1000,528.028,0.242,244.728
"1001",1001,527.992,0.256,244.356
"1002",1002,528.08,0.254,244.006
"1003",1003,528.104,0.212,243.656
"1004",1004,528.184,0.206,243.288
"1005",1005,528.166,0.178,242.912
"1006",1006,528.304,0.142,242.538
"1007",1007,528.318,0.118,242.17
"1008",1008,528.392,0.068,241.796
"1009",1009,528.474,0.04,241.446
"1010",1010,528.69,0.022,241.106
"1011",1011,528.762,0.012,240.724
"1012",1012,528.708,0.002,240.38
"1013",1013,528.922,0,240.042
"1014",1014,528.952,0.004,239.68
"1015",1015,529.238,0.006,239.308
"1016",1016,529.424,0.006,238.944
"1017",1017,529.512,0.014,238.592
"1018",1018,529.676,0.028,238.25
"1019",1019,529.94,0.048,237.904
